id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750603054_5913,640,0.516,2565,2.067,1295899,"2025-06-22 14:37:34"
1750603059_2086,728,0.587,2562,2.064,1301126,"2025-06-22 14:37:39"
1750603065_8421,668,0.538,2568,2.069,1306352,"2025-06-22 14:37:45"
1750603070_3652,674,0.543,2582,2.08,1311579,"2025-06-22 14:37:50"
1750603075_6744,709,0.571,2578,2.077,1316805,"2025-06-22 14:37:55"
1750603080_6810,728,0.587,2557,2.06,1322032,"2025-06-22 14:38:00"
1750603086_2766,692,0.558,2557,2.06,1327258,"2025-06-22 14:38:06"
1750603091_1588,723,0.582,2576,2.075,1332485,"2025-06-22 14:38:11"
1750603096_6804,665,0.536,2614,2.106,1337711,"2025-06-22 14:38:16"
1750603101_8795,685,0.552,2439,1.965,1342937,"2025-06-22 14:38:21"
1750603107_7161,744,0.599,2273,1.831,1348164,"2025-06-22 14:38:27"
1750603112_9342,742,0.598,2368,1.908,1353390,"2025-06-22 14:38:32"
1750603117_9457,661,0.533,2429,1.957,1358617,"2025-06-22 14:38:37"
1750603122_7343,722,0.582,2446,1.971,1363843,"2025-06-22 14:38:42"
1750603127_7228,757,0.61,2416,1.946,1369070,"2025-06-22 14:38:47"
1750603133_4496,712,0.574,2505,2.018,1374296,"2025-06-22 14:38:53"
1750603138_6354,693,0.558,2491,2.007,1379523,"2025-06-22 14:38:58"
1750603143_2619,732,0.59,2472,1.992,1384749,"2025-06-22 14:39:03"
1750603148_7712,751,0.605,2444,1.969,1389976,"2025-06-22 14:39:08"
1750603154_9007,757,0.61,2466,1.987,1395202,"2025-06-22 14:39:14"
1750603159_4803,746,0.601,2506,2.019,1400429,"2025-06-22 14:39:19"
1750603164_9039,703,0.566,2525,2.034,1405655,"2025-06-22 14:39:24"
1750603169_5979,732,0.59,2522,2.032,1410982,"2025-06-22 14:39:29"
1750603175_3767,728,0.587,2514,2.025,1416209,"2025-06-22 14:39:35"
1750603180_6904,728,0.587,2516,2.027,1421435,"2025-06-22 14:39:40"
1750603185_8865,717,0.578,2525,2.034,1426662,"2025-06-22 14:39:45"
1750603190_1602,698,0.562,2498,2.013,1431888,"2025-06-22 14:39:50"
1750603196_9555,689,0.555,2474,1.993,1437115,"2025-06-22 14:39:56"
1750603201_5477,696,0.561,2521,2.031,1442441,"2025-06-22 14:40:01"
1750603206_8988,716,0.577,2507,2.02,1447668,"2025-06-22 14:40:06"
1750603211_2895,749,0.603,2510,2.022,1452994,"2025-06-22 14:40:11"
1750603217_8317,716,0.577,2511,2.023,1458221,"2025-06-22 14:40:17"
1750603222_2195,712,0.574,2522,2.032,1463447,"2025-06-22 14:40:22"
1750603227_3714,726,0.585,2498,2.013,1468674,"2025-06-22 14:40:27"
